order_id,order_date,ship_date,Revenue,Profit,Profit_Margin
ORDER_000147,1/23/2011,1/27/2011,9,8.42,94%
ORDER_000148,1/24/2011,1/24/2011,2606,2371.27,91%
ORDER_000149,1/24/2011,1/24/2011,561,427.43,76%
ORDER_000150,1/24/2011,1/29/2011,1182,1115.9,94%
ORDER_000151,1/24/2011,1/26/2011,72.4,42.54,59%
ORDER_000152,1/24/2011,1/30/2011,5880,5859.97,100%
ORDER_000153,1/24/2011,1/30/2011,440,423.08,96%
ORDER_000154,1/24/2011,1/24/2011,133,117.84,89%
ORDER_000155,1/24/2011,1/26/2011,206.4,193.7,94%
ORDER_000156,1/24/2011,1/30/2011,1112,1100.06,99%
ORDER_000157,1/24/2011,1/26/2011,165,153.84,93%
ORDER_000158,1/24/2011,1/29/2011,332.9,322.98,97%
ORDER_000159,1/24/2011,1/26/2011,164,158.76,97%
ORDER_000160,1/24/2011,1/26/2011,270,265.28,98%
ORDER_000161,1/24/2011,1/29/2011,240,235.69,98%
ORDER_000162,1/24/2011,1/30/2011,295,290.73,99%
ORDER_000163,1/24/2011,1/30/2011,252,248.43,99%
ORDER_000164,1/24/2011,1/26/2011,28,24.67,88%
ORDER_000165,1/24/2011,1/29/2011,35.83,34.63,97%
ORDER_000166,1/24/2011,1/28/2011,18,17.05,95%
ORDER_000167,1/24/2011,1/28/2011,29.4,28.46,97%
ORDER_000168,1/24/2011,1/29/2011,11,10.38,94%
ORDER_000169,1/25/2011,1/29/2011,4005,3971.46,99%
ORDER_000170,1/25/2011,1/28/2011,887.3,868.69,98%
ORDER_000171,1/25/2011,1/30/2011,1246,1229.06,99%
ORDER_000172,1/25/2011,1/2/2011,1330,1321.06,99%
ORDER_000173,1/25/2011,1/29/2011,355,348.36,98%
ORDER_000174,1/25/2011,1/26/2011,180,173.47,96%
ORDER_000175,1/25/2011,1/29/2011,64,59.55,93%
ORDER_000176,1/25/2011,1/27/2011,196,192.83,98%
ORDER_000177,1/25/2011,1/29/2011,18,16.24,90%
ORDER_000178,1/25/2011,1/2/2011,20,18.85,94%
ORDER_000179,1/25/2011,1/28/2011,3.3,3.02,92%
ORDER_000180,1/26/2011,1/27/2011,333.73,241.06,72%
ORDER_000181,1/26/2011,1/31/2011,6677.4,6630.05,99%
ORDER_000182,1/26/2011,1/30/2011,1709.5,1675.51,98%
ORDER_000183,1/26/2011,1/31/2011,311,283.3,91%
ORDER_000184,1/26/2011,1/30/2011,1140,1114.37,98%
ORDER_000185,1/26/2011,1/26/2011,237.4,212.65,90%
ORDER_000186,1/26/2011,1/31/2011,1271.4,1251.47,98%
ORDER_000187,1/26/2011,1/28/2011,256,236.3,92%
ORDER_000188,1/26/2011,1/31/2011,124,106.86,86%
ORDER_000189,1/26/2011,1/28/2011,237,223.18,94%
ORDER_000190,1/26/2011,1/2/2011,2401,2387.78,99%
ORDER_000191,1/26/2011,1/29/2011,3105,3092.54,100%
ORDER_000192,1/26/2011,1/31/2011,425.83,413.59,97%
ORDER_000193,1/26/2011,1/31/2011,459.4,448.23,98%
ORDER_000194,1/26/2011,1/29/2011,539.9,528.84,98%
ORDER_000195,1/26/2011,1/29/2011,1224,1214.56,99%
ORDER_000196,1/26/2011,1/29/2011,352,344.86,98%
ORDER_000197,1/26/2011,1/30/2011,264,258.46,98%
ORDER_000198,1/26/2011,1/30/2011,208,203.12,98%
ORDER_000199,1/26/2011,1/30/2011,96,91.18,95%
ORDER_000200,1/26/2011,1/26/2011,245.5,241.52,98%
ORDER_000201,1/26/2011,1/31/2011,33.4,30.32,91%
ORDER_000202,1/26/2011,1/29/2011,171.9,169.25,98%
ORDER_000203,1/26/2011,1/26/2011,35.5,33.75,95%
ORDER_000204,1/26/2011,1/29/2011,120,118.26,99%
ORDER_000205,1/26/2011,1/31/2011,9,7.57,84%
ORDER_000206,1/26/2011,1/31/2011,31.4,30.12,96%
ORDER_000207,1/26/2011,1/30/2011,13,11.8,91%
ORDER_000208,1/26/2011,1/31/2011,11,10.12,92%
ORDER_000209,1/26/2011,1/29/2011,1416,1415.39,100%
ORDER_000210,1/26/2011,1/31/2011,4.4,4.06,92%
ORDER_000211,1/27/2011,1/30/2011,284,259.41,91%
ORDER_000212,1/27/2011,1/29/2011,1495,1470.48,98%
ORDER_000213,1/27/2011,1/2/2011,3920,3898.52,99%
ORDER_000214,1/27/2011,1/2/2011,376,358.34,95%
ORDER_000215,1/27/2011,1/2/2011,2569,2551.39,99%
ORDER_000216,1/27/2011,1/29/2011,152,135.41,89%
ORDER_000217,1/27/2011,1/2/2011,2015,2003.05,99%
ORDER_000218,1/27/2011,1/2/2011,920,909.27,99%
ORDER_000219,1/27/2011,1/29/2011,62,55.3,89%
ORDER_000220,1/27/2011,1/2/2011,189,182.85,97%
ORDER_000221,1/27/2011,2/2/2011,1065.53,1059.86,99%
ORDER_000222,1/27/2011,1/29/2011,102,97.76,96%
ORDER_000223,1/27/2011,1/29/2011,20,16.27,81%
ORDER_000224,1/27/2011,1/29/2011,17,13.56,80%
ORDER_000225,1/27/2011,1/2/2011,80,77.4,97%
ORDER_000226,1/27/2011,1/31/2011,174.8,172.82,99%
ORDER_000227,1/27/2011,1/2/2011,57,55.47,97%
ORDER_000228,1/27/2011,1/30/2011,22,20.61,94%
ORDER_000229,1/27/2011,1/2/2011,34,32.87,97%
ORDER_000230,1/27/2011,1/29/2011,5,4.46,89%
ORDER_000231,1/27/2011,1/2/2011,36,35.57,99%
ORDER_000232,1/28/2011,2/2/2011,1063.9,1012.39,95%
ORDER_000233,1/28/2011,3/2/2011,998.8,975.37,98%
ORDER_000234,1/28/2011,1/31/2011,659.53,649.71,99%
ORDER_000235,1/28/2011,1/31/2011,449.53,444.67,99%
ORDER_000236,1/28/2011,3/2/2011,57,53,93%
ORDER_000237,1/28/2011,3/2/2011,144,140.75,98%
ORDER_000238,1/28/2011,3/2/2011,27.9,26.75,96%
ORDER_000239,1/29/2011,3/2/2011,985.4,953.86,97%
ORDER_000240,1/29/2011,3/2/2011,737.3,718.57,97%
ORDER_000241,1/29/2011,4/2/2011,44,40.65,92%
ORDER_000242,1/29/2011,4/2/2011,3.8,3.44,91%
ORDER_000243,1/30/2011,1/30/2011,323.6,260.46,80%
ORDER_000244,1/30/2011,4/2/2011,381.3,362.11,95%
ORDER_000245,1/30/2011,4/2/2011,71.3,68.94,97%
ORDER_000246,1/30/2011,4/2/2011,41.3,39.03,95%
ORDER_000247,1/30/2011,1/31/2011,9.3,8.29,89%
ORDER_000248,1/30/2011,1/31/2011,3.3,2.7,82%
ORDER_000249,1/30/2011,4/2/2011,119.3,118.91,100%
ORDER_000250,1/30/2011,4/2/2011,11.3,10.98,97%
ORDER_000251,1/30/2011,4/2/2011,0.3,0.18,60%
ORDER_000252,1/31/2011,6/2/2011,10284,10155,99%
ORDER_000253,1/31/2011,6/2/2011,7668,7563.71,99%
ORDER_000254,1/31/2011,5/2/2011,2516.9,2462.73,98%
ORDER_000255,1/31/2011,5/2/2011,460,437.42,95%
ORDER_000256,1/31/2011,4/2/2011,436,413.68,95%
ORDER_000257,1/31/2011,4/2/2011,668,648.66,97%
ORDER_000258,1/31/2011,5/2/2011,2991.9,2976.05,99%
ORDER_000259,1/31/2011,3/2/2011,105,92.3,88%
ORDER_000260,1/31/2011,6/2/2011,984,973.35,99%
ORDER_000261,1/31/2011,6/2/2011,254.8,246.28,97%
ORDER_000262,1/31/2011,4/2/2011,380,373.82,98%
ORDER_000263,1/31/2011,6/2/2011,488,482.15,99%
ORDER_000264,1/31/2011,6/2/2011,372,366.82,99%
ORDER_000265,1/31/2011,6/2/2011,636,630.99,99%
ORDER_000266,1/31/2011,5/2/2011,452,447.49,99%
ORDER_000267,1/31/2011,4/2/2011,378,374.4,99%
ORDER_000268,1/31/2011,4/2/2011,24,21.88,91%
ORDER_000269,1/31/2011,6/2/2011,119.8,117.81,98%
ORDER_000270,1/31/2011,6/2/2011,64,62.1,97%
ORDER_000271,1/31/2011,5/2/2011,22,20.8,95%
ORDER_000272,2/13/2011,2/19/2011,259.8,256.54,99%
ORDER_000273,2/14/2011,2/16/2011,5116,4829.81,94%
ORDER_000274,2/14/2011,2/16/2011,1860,1738.79,93%
ORDER_000275,2/14/2011,2/16/2011,594,511.54,86%
ORDER_000276,2/14/2011,2/18/2011,2428,2396.35,99%
ORDER_000277,2/14/2011,2/18/2011,812,781.62,96%
ORDER_000278,2/14/2011,2/18/2011,1904,1875.55,99%
ORDER_000279,2/14/2011,2/19/2011,768,747.86,97%
ORDER_000280,2/14/2011,2/18/2011,1270,1253.71,99%
ORDER_000281,2/14/2011,2/18/2011,154,138.77,90%
ORDER_000282,2/14/2011,2/19/2011,462,448.68,97%
ORDER_000283,2/14/2011,2/18/2011,441,429.47,97%
ORDER_000284,2/14/2011,2/19/2011,164,154.39,94%
ORDER_000285,2/14/2011,2/19/2011,154,145.62,95%
ORDER_000286,2/14/2011,2/18/2011,624,617.09,99%
ORDER_000287,2/14/2011,2/16/2011,174,167.3,96%
ORDER_000288,2/14/2011,2/16/2011,73,66.66,91%
ORDER_000289,2/14/2011,2/19/2011,26,23.32,90%
ORDER_000290,2/14/2011,2/18/2011,108,105.89,98%
ORDER_000291,2/14/2011,2/18/2011,32,29.97,94%
ORDER_000292,2/14/2011,2/20/2011,27,24.97,92%
ORDER_000293,2/14/2011,2/19/2011,28,26.22,94%
ORDER_000294,2/14/2011,2/19/2011,8.9,8.11,91%
ORDER_000295,2/15/2011,2/16/2011,38990,38567.75,99%
ORDER_000296,2/15/2011,2/19/2011,6976,6794.39,97%
ORDER_000297,2/15/2011,2/21/2011,8288.75,8160.74,98%
ORDER_000298,2/15/2011,2/21/2011,7409.65,7291.02,98%
ORDER_000299,2/15/2011,2/20/2011,3499.5,3421.32,98%
ORDER_000300,2/15/2011,2/21/2011,1455.8,1395.04,96%
ORDER_000301,2/15/2011,2/20/2011,818.3,797.17,97%
ORDER_000302,2/15/2011,2/19/2011,478,457.92,96%
ORDER_000303,2/15/2011,2/21/2011,273.75,257.33,94%
ORDER_000304,2/15/2011,2/20/2011,836,820.78,98%
ORDER_000305,2/15/2011,2/19/2011,720,706.55,98%
ORDER_000306,2/15/2011,2/20/2011,135,121.92,90%
ORDER_000307,2/15/2011,2/20/2011,948,937.84,99%
ORDER_000308,2/15/2011,2/20/2011,266,256.01,96%
ORDER_000309,2/15/2011,2/20/2011,198,188.81,95%
ORDER_000310,2/15/2011,2/21/2011,381,372.47,98%
ORDER_000311,2/15/2011,2/20/2011,380,373.81,98%
ORDER_000312,2/15/2011,2/20/2011,55,49.31,90%
ORDER_000313,2/15/2011,2/19/2011,164,159.29,97%
ORDER_000314,2/15/2011,2/20/2011,31,29.05,94%
ORDER_000315,2/15/2011,2/20/2011,47.8,46.53,97%
ORDER_000316,2/15/2011,2/20/2011,60,59.05,98%
ORDER_000317,2/16/2011,2/19/2011,49983.9,49477.63,99%
ORDER_000318,2/16/2011,2/21/2011,8477,8363.97,99%
ORDER_000319,2/16/2011,2/20/2011,1551,1502.77,97%
ORDER_000320,2/16/2011,2/19/2011,276.9,248.96,90%
ORDER_000321,2/16/2011,2/21/2011,959.9,933.17,97%
ORDER_000322,2/16/2011,2/21/2011,1427.9,1402.02,98%
ORDER_000323,2/16/2011,2/19/2011,567.85,544.18,96%
ORDER_000324,2/16/2011,2/21/2011,583.9,571.26,98%
ORDER_000325,2/16/2011,2/20/2011,1195,1182.72,99%
ORDER_000326,2/16/2011,2/21/2011,450,441.52,98%
ORDER_000327,2/16/2011,2/20/2011,881.998,874.528,99%
ORDER_000328,2/16/2011,2/19/2011,540,533.11,99%
ORDER_000329,2/16/2011,2/20/2011,104.85,99.02,94%
ORDER_000330,2/16/2011,2/20/2011,400,395.61,99%
ORDER_000331,2/16/2011,2/20/2011,248,244.87,99%
ORDER_000332,2/16/2011,2/20/2011,104.8,102.39,98%
ORDER_000333,2/16/2011,2/21/2011,120,117.65,98%
ORDER_000334,2/16/2011,2/21/2011,123,121.66,99%
ORDER_000335,2/16/2011,2/20/2011,76,74.68,98%
ORDER_000336,2/16/2011,2/20/2011,22,21.3,97%
ORDER_000337,2/17/2011,2/22/2011,927,900.46,97%
ORDER_000338,2/17/2011,2/22/2011,335,323.63,97%
ORDER_000339,2/17/2011,2/19/2011,350,339.03,97%
ORDER_000340,2/17/2011,2/22/2011,380.83,373.14,98%
ORDER_000341,2/17/2011,2/22/2011,58,55.47,96%
ORDER_000342,2/17/2011,2/19/2011,7.3,4.92,67%
ORDER_000343,2/17/2011,2/22/2011,15.2,14.28,94%
ORDER_000344,2/17/2011,2/22/2011,11.3,10.74,95%
ORDER_000345,2/17/2011,2/19/2011,5.3,4.9,92%
ORDER_000346,2/17/2011,2/22/2011,2.2,2.09,95%
ORDER_000347,2/18/2011,2/21/2011,4124.9,3963.27,96%
ORDER_000348,2/18/2011,2/20/2011,277,230.31,83%
ORDER_000349,2/18/2011,2/20/2011,515.5,486.38,94%
ORDER_000350,2/18/2011,2/23/2011,386.85,373.64,97%
ORDER_000351,2/18/2011,2/23/2011,900,887.77,99%
ORDER_000352,2/18/2011,2/24/2011,409.9,402.46,98%
ORDER_000353,2/18/2011,2/20/2011,37,29.59,80%
ORDER_000354,2/18/2011,2/22/2011,434,426.88,98%
ORDER_000355,2/18/2011,2/20/2011,97,90.12,93%
ORDER_000356,2/18/2011,2/21/2011,23.9,18.77,79%
ORDER_000357,2/18/2011,2/25/2011,755.8,751.69,99%
ORDER_000358,2/18/2011,2/20/2011,30,26.08,87%
ORDER_000359,2/18/2011,2/24/2011,105,101.5,97%
ORDER_000360,2/18/2011,2/23/2011,96,93.23,97%
ORDER_000361,2/18/2011,2/21/2011,27.9,26.53,95%
ORDER_000362,2/18/2011,2/22/2011,275,273.73,100%
ORDER_000363,2/19/2011,2/21/2011,354,344.13,97%
ORDER_000364,2/19/2011,2/19/2011,124.4,123.01,99%
ORDER_000365,2/19/2011,2/25/2011,25.8,24.83,96%
ORDER_000366,2/21/2011,2/25/2011,4015,3936.55,98%
ORDER_000367,2/21/2011,2/26/2011,4011.5,3938.58,98%
ORDER_000368,2/21/2011,2/25/2011,5641.9,5587.73,99%
ORDER_000369,2/21/2011,2/28/2011,594,542.05,91%
ORDER_000370,2/21/2011,2/21/2011,1037.55,1000.49,96%
ORDER_000371,2/21/2011,2/25/2011,692,664.41,96%
ORDER_000372,2/21/2011,2/28/2011,900,880.08,98%
ORDER_000373,2/21/2011,2/25/2011,551.9,533.24,97%
ORDER_000374,2/21/2011,2/23/2011,537,519.87,97%
ORDER_000375,2/21/2011,2/26/2011,492,475.95,97%
ORDER_000376,2/21/2011,2/21/2011,92.75,83.91,90%
ORDER_000377,2/21/2011,2/27/2011,186,182.03,98%
ORDER_000378,2/21/2011,2/25/2011,50,47.04,94%
ORDER_000379,2/21/2011,2/25/2011,215.9,213.36,99%
ORDER_000380,2/21/2011,2/26/2011,29.6,27.19,92%
ORDER_000381,2/21/2011,2/26/2011,28.6,26.26,92%
ORDER_000382,2/21/2011,2/25/2011,42,40.2,96%
ORDER_000383,2/21/2011,2/25/2011,96,94.23,98%
ORDER_000384,2/21/2011,2/28/2011,54,52.46,97%
ORDER_000385,2/21/2011,2/25/2011,26,24.86,96%
ORDER_000386,2/21/2011,2/27/2011,80,79.17,99%
ORDER_000387,2/22/2011,2/26/2011,1430.6,1345.03,94%
ORDER_000388,2/22/2011,2/27/2011,3224,3193.79,99%
ORDER_000389,2/22/2011,2/26/2011,206,185.85,90%
ORDER_000390,2/22/2011,2/27/2011,490,472.27,96%
ORDER_000391,2/22/2011,2/27/2011,1332,1316.38,99%
ORDER_000392,2/22/2011,2/26/2011,315,305.39,97%
ORDER_000393,2/22/2011,2/27/2011,554.5,545.35,98%
ORDER_000394,2/22/2011,2/27/2011,690,683.08,99%
ORDER_000395,2/22/2011,2/26/2011,414,408.01,99%
ORDER_000396,2/22/2011,2/27/2011,58,52.66,91%
ORDER_000397,2/22/2011,2/24/2011,24.4,20.56,84%
ORDER_000398,2/22/2011,2/26/2011,123,119.34,97%
ORDER_000399,2/22/2011,2/26/2011,46,42.77,93%
ORDER_000400,2/22/2011,2/26/2011,76,72.85,96%
ORDER_000401,2/22/2011,2/27/2011,94,92.05,98%
ORDER_000402,2/22/2011,2/24/2011,20,18.91,95%
ORDER_000403,2/22/2011,2/26/2011,44.2,43.5,98%
ORDER_000404,2/22/2011,2/24/2011,5.4,4.86,90%
ORDER_000405,2/22/2011,2/27/2011,11,10.66,97%
ORDER_000406,2/22/2011,2/26/2011,3.4,3.06,90%
ORDER_000407,2/23/2011,2/26/2011,6108,5788.47,95%
ORDER_000408,2/23/2011,2/26/2011,10330,10081.19,98%
ORDER_000409,2/23/2011,2/26/2011,789.8,730.16,92%
ORDER_000410,2/23/2011,2/26/2011,319.8,293.85,92%
ORDER_000411,2/23/2011,2/26/2011,293.5,280.45,96%
ORDER_000412,2/23/2011,2/23/2011,49,39.24,80%
ORDER_000413,2/23/2011,2/26/2011,676,667.6,99%
ORDER_000414,2/23/2011,2/25/2011,57,51.99,91%
ORDER_000415,2/23/2011,2/26/2011,34,30.03,88%
ORDER_000416,2/23/2011,2/26/2011,134.5,133.02,99%
ORDER_000417,2/23/2011,2/28/2011,93.4,92.47,99%
ORDER_000418,2/24/2011,2/28/2011,10380,10182.89,98%
ORDER_000419,2/24/2011,2/25/2011,654,517.98,79%
ORDER_000420,2/24/2011,2/24/2011,1001.998,932.348,93%
ORDER_000421,2/24/2011,2/25/2011,2940,2900.97,99%
ORDER_000422,2/24/2011,2/28/2011,285.4,263,92%
ORDER_000423,2/24/2011,2/25/2011,474.83,454.94,96%
ORDER_000424,2/24/2011,2/24/2011,3672,3652.49,99%
ORDER_000425,2/24/2011,2/28/2011,1854,1840.2,99%
ORDER_000426,2/24/2011,3/3/2011,57,49.46,87%
ORDER_000427,2/24/2011,2/28/2011,213.3,205.98,97%
ORDER_000428,2/24/2011,2/25/2011,62,55.93,90%
ORDER_000429,2/24/2011,2/27/2011,36.3,30.41,84%
ORDER_000430,2/24/2011,2/25/2011,108,102.49,95%
ORDER_000431,2/24/2011,2/28/2011,1050,1045.03,100%
ORDER_000432,2/24/2011,2/28/2011,128,123.85,97%
ORDER_000433,2/24/2011,2/25/2011,64,60.86,95%
ORDER_000434,2/24/2011,2/24/2011,204,201.01,99%
